time, collision_type, b, v_esc/v_imp, mlr, id_t, m_t_i, id_p, m_p_i,
9.285534e-01,0,1.500020e+02,6.708204e-04,1.680782e-01,0,2.500000e-01,1,2.000000e-01,
9.285534e-01,0,1.500020e+02,6.708204e-04,1.680782e-01,0,2.500000e-01,1,2.000000e-01,
9.285534e-01,0,1.500020e+02,6.708204e-04,1.680782e-01,0,2.500000e-01,1,2.000000e-01,
9.285534e-01,0,1.500020e+02,6.708204e-04,1.680782e-01,0,2.500000e-01,1,2.000000e-01,
9.285534e-01,0,1.500020e+02,6.708204e-04,1.680782e-01,0,2.500000e-01,1,2.000000e-01,
9.285534e-01,0,1.500020e+02,6.708204e-04,1.680782e-01,0,2.500000e-01,1,2.000000e-01,
9.285534e-01,0,1.500020e+02,6.708204e-04,1.680782e-01,0,2.500000e-01,1,2.000000e-01,
9.285534e-01,0,1.500020e+02,6.708204e-04,1.680782e-01,0,2.500000e-01,1,2.000000e-01,
1.000000e+00,0,1.500020e+02,6.708204e-04,1.680782e-01,1,2.500000e-01,0,2.000000e-01,
1.000000e+00,0,1.500020e+02,6.708204e-04,1.680782e-01,1,2.500000e-01,0,2.000000e-01,
9.789224e-01,0,1.500020e+02,6.324555e-04,8.763933e-02,1,2.000000e-01,0,2.000000e-01,
9.789224e-01,0,1.500020e+02,6.324555e-04,8.763933e-02,0,2.000000e-01,1,2.000000e-01,
6.541221e-01,0,1.500013e+02,4.472136e-04,2.295660e-02,0,2.500000e-01,1,2.000000e-01,
6.541221e-01,0,1.500013e+02,4.472136e-04,2.295660e-02,0,2.500000e-01,1,2.000000e-01,
1.000000e+00,0,1.500020e+02,6.708204e-04,1.680782e-01,1,2.500000e-01,0,2.000000e-01,
1.000000e+00,0,1.500020e+02,6.708204e-04,1.680782e-01,1,2.500000e-01,0,2.000000e-01,
9.789224e-01,0,1.500020e+02,6.324555e-04,8.763933e-02,1,2.000000e-01,0,2.000000e-01,
9.789224e-01,0,1.500020e+02,6.324555e-04,8.763933e-02,0,2.000000e-01,1,2.000000e-01,
8.500000e-03,0,1.500007e+02,2.236068e-04,2.869438e-03,0,2.500000e-01,1,2.000000e-01,
8.500000e-03,0,1.500007e+02,2.236068e-04,2.869438e-03,0,2.500000e-01,1,2.000000e-01,
1.000000e+00,0,1.500020e+02,6.708204e-04,1.680782e-01,1,2.500000e-01,0,2.000000e-01,
1.000000e+00,0,1.500020e+02,6.708204e-04,1.680782e-01,1,2.500000e-01,0,2.000000e-01,
9.789224e-01,0,1.500020e+02,6.324555e-04,8.763933e-02,1,2.000000e-01,0,2.000000e-01,
9.789224e-01,0,1.500020e+02,6.324555e-04,8.763933e-02,0,2.000000e-01,1,2.000000e-01,
8.500000e-03,0,1.500007e+02,2.236068e-04,2.869438e-03,0,2.500000e-01,1,2.000000e-01,
8.500000e-03,0,1.500007e+02,2.236068e-04,2.869438e-03,0,2.500000e-01,1,2.000000e-01,
1.000000e+00,0,1.500020e+02,6.708204e-04,1.680782e-01,1,2.500000e-01,0,2.000000e-01,
1.000000e+00,0,1.500020e+02,6.708204e-04,1.680782e-01,1,2.500000e-01,0,2.000000e-01,
9.789224e-01,0,1.500020e+02,6.324555e-04,8.763933e-02,1,2.000000e-01,0,2.000000e-01,
9.789224e-01,0,1.500020e+02,6.324555e-04,8.763933e-02,0,2.000000e-01,1,2.000000e-01,
8.500000e-03,0,1.500007e+02,2.236068e-04,2.869438e-03,0,2.500000e-01,1,2.000000e-01,
8.500000e-03,0,1.500007e+02,2.236068e-04,2.869438e-03,0,2.500000e-01,1,2.000000e-01,
1.000000e+00,0,1.500020e+02,6.708204e-04,1.680782e-01,1,2.500000e-01,0,2.000000e-01,
1.000000e+00,0,1.500020e+02,6.708204e-04,1.680782e-01,1,2.500000e-01,0,2.000000e-01,
9.789224e-01,0,1.500020e+02,6.324555e-04,8.763933e-02,1,2.000000e-01,0,2.000000e-01,
9.789224e-01,0,1.500020e+02,6.324555e-04,8.763933e-02,0,2.000000e-01,1,2.000000e-01,
4.917024e-01,1,7.781108e-01,1.249281e+00,1.000959e+00,0,5.010000e-01,5.000000e-01,
6.041751e-01,1,8.691631e-01,6.157933e-01,2.009950e-01,0,1.010000e-01,1.000000e-01,
6.041751e-01,1,8.691631e-01,6.157933e-01,2.009950e-01,0,1.010000e-01,1.000000e-01,
5.901031e-01,1,8.744367e-01,4.863431e-01,1.249992e-01,0,1.000000e-01,2.500000e-02,
5.901031e-01,1,8.744367e-01,4.863431e-01,1.249992e-01,0,1.000000e-01,2.500000e-02,
5.416434e-01,1,8.045902e-01,8.996771e-01,4.999949e-01,0,4.000000e-01,1.000000e-01,
5.416434e-01,1,8.045902e-01,8.996771e-01,4.999949e-01,0,4.000000e-01,1.000000e-01,
8.249227e-01,1,8.962109e-01,9.956354e-02,4.999287e-01,0,4.000000e-01,1.000000e-01,
8.249227e-01,1,8.962109e-01,9.956354e-02,4.999287e-01,0,4.000000e-01,1.000000e-01,
7.552350e-01,1,1.125719e-03,9.954903e-02,4.901011e-01,0,4.000000e-01,1.000000e-01,
7.705366e-01,1,4.983230e-01,9.955756e-02,4.958742e-01,0,4.000000e-01,1.000000e-01,
8.110646e-01,1,7.966039e-01,9.954443e-02,4.995328e-01,0,4.000000e-01,1.000000e-01,
8.110646e-01,1,7.966039e-01,9.954443e-02,4.995328e-01,0,4.000000e-01,1.000000e-01,
1.000000e-04,1,6.000094e+01,1.976424e-02,1.239829e+02,0,1.000000e+02,2.500000e+01,
1.000000e-04,1,6.000094e+01,1.976424e-02,1.239829e+02,0,1.000000e+02,2.500000e+01,
6.415781e-01,3,8.830753e-04,3.949626e-02,3.645176e+00,0,4.000000e+00,1.000000e+00,
2.629596e-01,1,6.884291e-01,4.913002e-01,1.249909e-01,0,1.000000e-01,2.500000e-02,
2.629596e-01,1,6.884291e-01,4.913002e-01,1.249909e-01,0,1.000000e-01,2.500000e-02,
8.509423e-01,1,5.108179e-01,7.817125e-03,8.942847e-02,0,1.000000e-01,1.000000e-02,
8.509423e-01,1,5.108179e-01,7.817125e-03,8.942847e-02,0,1.000000e-01,1.000000e-02,
8.262460e-01,1,5.107997e-01,1.876163e-03,1.605327e-03,0,1.000000e-01,1.000000e-02,
7.433563e-01,1,7.301629e-01,4.297037e-01,1.099926e+01,0,1.000000e+01,1.000000e+00,
7.433563e-01,1,7.301629e-01,4.297037e-01,1.099926e+01,0,1.000000e+01,1.000000e+00,
