t,starx,stary,starz,starvx,starvy,starvz,star_sx, star_sy, star_sz, a1,i1,e1,s1x,s1y,s1z,mag1,pom1,Om1,f1,p1x,p1y,p1z,p1vx,p1vy,p1vz,a2,i2,e2,s2x,s2y,s2z,mag2,pom2,Om2,f2,p2x,p2y,p2z,p2vx,p2vy,p2vz
0.000000,-0.000006,0.000000,0.000000,0.000000,-0.000068,-0.000000,0.000000,0.000000,18.250000,0.173087,0.008727,0.010000,0.0000000000,-1.9109137000,72.9749843600,72.9999995446,0.000000,0.000000,0.000000,0.171350,0.000000,0.000000,0.000000,2.427647,0.021186,0.232923,0.007522,0.010062,0.0000000000,3.0384546667,121.6287200500,121.6666665433,6.283185,3.141593,0.000000,0.230574,0.000000,0.000000,0.000000,2.092861,-0.015744
40.000000,0.000001,0.000004,-0.000000,-0.000045,0.000018,0.000000,0.000000,-0.000000,18.250000,0.173059,0.008725,0.009563,-0.2891925524,-1.8877697369,72.9734735772,72.9984599346,0.025394,-0.137104,3.605258,-0.154075,-0.081988,-0.000892,1.128750,-2.099080,-0.016797,0.232939,0.007520,0.010497,0.3306767261,3.0223305997,121.6279004731,121.6658949864,-0.008947,3.004448,5.173867,0.101368,-0.208485,0.001449,1.863653,0.927735,-0.008827
80.000000,0.000001,0.000001,-0.000000,0.000006,-0.000001,-0.000000,0.000000,-0.000000,18.250000,0.173063,0.008727,0.009570,-0.5706835765,-1.8191240924,72.9720184321,72.9969202519,-0.010484,-0.275014,1.064054,0.085170,0.149711,0.001459,-2.089238,1.211654,0.005225,0.232918,0.007522,0.010522,0.6588656579,2.9743206340,121.6269771004,121.6651233747,0.048656,2.866565,4.048639,-0.135261,-0.191442,0.001662,1.691336,-1.173921,0.005043
120.000000,0.000003,0.000002,0.000000,-0.000034,0.000029,-0.000000,0.000000,-0.000000,18.250000,0.173057,0.008724,0.009990,-0.8369710261,-1.7071157468,72.9706161825,72.9953806122,0.001174,-0.412389,4.738597,0.004742,-0.172922,-0.001366,2.402996,0.089828,0.009120,0.232932,0.007519,0.010061,0.9825757789,2.8944095213,121.6259487783,121.6643517135,0.055977,2.729207,3.020131,-0.234749,0.015399,0.000601,-0.136773,-2.046764,0.014513
160.000000,0.000003,-0.000005,0.000000,0.000055,0.000037,0.000000,0.000000,-0.000000,18.250000,0.173074,0.008727,0.009819,-1.0810360261,-1.5551073119,72.9692661628,72.9938408496,0.049073,-0.550017,2.208116,-0.110318,0.134646,0.000499,-1.860527,-1.499757,-0.019645,0.232923,0.007522,0.010254,1.2992025520,2.7823008308,121.6248230382,121.6635800240,0.030154,2.591558,2.050879,-0.114283,0.204193,-0.000860,-1.808772,-0.990682,0.013465
200.000000,-0.000004,-0.000002,0.000000,0.000019,-0.000050,-0.000000,0.000000,-0.000000,18.250000,0.173052,0.008727,0.009671,-1.2966206644,-1.3675384401,72.9679699321,72.9923011183,0.009712,-0.687023,6.033767,0.166522,-0.040705,0.000647,0.570494,2.358400,0.019071,0.232936,0.007522,0.010501,1.6059124190,2.6382850935,121.6235973220,121.6628083207,0.089213,2.454500,1.009741,0.105268,0.206300,-0.001702,-1.847592,0.963455,0.003212
240.000000,-0.000001,0.000001,0.000000,-0.000012,0.000001,0.000000,0.000000,-0.000000,18.250000,0.173058,0.008724,0.010110,-1.4785623846,-1.1498722949,72.9667245158,72.9907613303,0.025035,-0.824753,3.579783,-0.156231,-0.078030,-0.001463,1.073581,-2.126321,-0.005712,0.232910,0.007520,0.010002,1.9002048796,2.4626823896,121.6222659205,121.6620366046,0.097059,2.316793,0.033152,0.228624,0.029937,-0.001415,-0.271106,2.075262,-0.009094
280.000000,-0.000003,0.000000,-0.000000,0.000012,-0.000034,0.000000,0.000000,-0.000000,18.250000,0.173053,0.008726,0.010009,-1.6227655928,-0.9085047426,72.9655240578,72.9892214650,0.072226,-0.962090,1.166938,0.056110,0.162963,0.001215,-2.274697,0.806709,-0.012258,0.232918,0.007521,0.010134,2.1791757908,2.2555219993,121.6208336616,121.6612648593,0.070535,2.179480,5.404320,0.159824,-0.167332,-0.000267,1.496938,1.452138,-0.015481
320.000000,-0.000001,0.000006,-0.000000,-0.000064,-0.000011,-0.000000,0.000000,-0.000000,18.250000,0.173053,0.008725,0.009686,-1.7261827539,-0.6503462534,72.9643681094,72.9876816370,0.059789,-1.100067,5.075028,0.070698,-0.157280,-0.000073,2.191138,1.008772,0.021032,0.232932,0.007520,0.010472,2.4393604861,2.0173723279,121.6193048184,121.6604930748,0.100943,2.041496,4.476462,-0.031417,-0.231346,0.001000,2.050968,-0.257297,-0.012870
360.000000,0.000005,0.000001,-0.000000,-0.000007,0.000060,0.000000,0.000000,-0.000000,18.250000,0.173048,0.008725,0.010203,-1.7871505337,-0.3824031808,72.9632560939,72.9861416918,0.054919,-1.237048,2.796402,-0.167389,0.050007,-0.001237,-0.689370,-2.278903,-0.012197,0.232930,0.007520,0.009878,2.6774453854,1.7493503545,121.6176748402,121.6597212474,0.134459,1.904465,3.591051,-0.196050,-0.129550,0.001712,1.139581,-1.708437,-0.003889
