,K,mag,filename,tmax,tinstability,Eerr1,Eerrf,tinstability_index
0,125.21,0.13981961408994042,IC0K1.2521e+02mag1.3982e-01.bin,50000000.0,50000000.0,5.8223558608383794e-08,4.967208133845477e-07,
2,74.471,0.0011961308606153204,IC2K7.4471e+01mag1.1961e-03.bin,50000000.0,50000000.0,3.297564034191862e-07,2.1641013596650645e-07,
4,859.13,0.04382245941855637,IC4K8.5913e+02mag4.3822e-02.bin,50000000.0,50000000.0,3.5692616434282094e-08,0.0005113790751230996,
6,610.55,0.009906937334398729,IC6K6.1055e+02mag9.9069e-03.bin,50000000.0,2869029.489343549,2.234090262888296e-06,0.816263466093706,2869.0
7,14.211,0.2186534714057171,IC7K1.4211e+01mag2.1865e-01.bin,50000000.0,50000000.0,3.204927772586535e-08,0.0012264010538796924,
8,558.29,0.8046777417892738,IC8K5.5829e+02mag8.0468e-01.bin,50000000.0,37732.21865210108,2.9680380407054206e-07,1.4412544700645935,37.0
10,348.85,0.0011541329711371676,IC10K3.4885e+02mag1.1541e-03.bin,50000000.0,50000000.0,2.518669142258469e-07,0.00042694316319112836,
13,359.26,0.005159690601117633,IC13K3.5926e+02mag5.1597e-03.bin,50000000.0,50000000.0,3.2793038537800525e-07,3.699621354735301e-07,
15,498.47,0.003441024578965232,IC15K4.9847e+02mag3.4410e-03.bin,50000000.0,50000000.0,5.208768393868958e-08,6.534782393435548e-08,
16,27.963,0.03710992052003758,IC16K2.7963e+01mag3.7110e-02.bin,50000000.0,4349276.840676596,6.298385130598566e-07,1.2362425597798752,4349.0
17,38.845,0.0390625208786718,IC17K3.8845e+01mag3.9063e-02.bin,50000000.0,50000000.0,1.088860533160896e-06,0.000810025013798236,
18,199.87,0.03283674657468433,IC18K1.9987e+02mag3.2837e-02.bin,50000000.0,12083445.379192144,6.262277566101251e-07,0.5055142706577368,12083.0
19,15.67,0.1921981265296755,IC19K1.5670e+01mag1.9220e-01.bin,50000000.0,33027150.14895636,9.598724882458333e-08,0.8949095101268114,33027.0
22,26.117,0.02786398228178712,IC22K2.6117e+01mag2.7864e-02.bin,50000000.0,50000000.0,1.3388910657191228e-07,4.565247518357437e-06,
27,71.03,0.27781214102926544,IC27K7.1030e+01mag2.7781e-01.bin,50000000.0,50000000.0,1.0095431367732864e-08,1.1662701364302799e-06,
29,533.97,0.007156783765663499,IC29K5.3397e+02mag7.1568e-03.bin,50000000.0,50000000.0,3.187142613040729e-08,1.8736707187194788e-08,
30,194.22,0.01387539862905043,IC30K1.9422e+02mag1.3875e-02.bin,50000000.0,50000000.0,3.126486216760139e-07,1.5036418869884769e-07,
35,82.435,0.008414897317776894,IC35K8.2435e+01mag8.4149e-03.bin,50000000.0,50000000.0,1.0549336078521445e-08,2.4359344475733964e-08,
36,286.43,0.06380322587719688,IC36K2.8643e+02mag6.3803e-02.bin,50000000.0,50000000.0,1.535548087244445e-08,3.686769452240006e-08,
37,774.45,0.02467712283708881,IC37K7.7445e+02mag2.4677e-02.bin,50000000.0,50000000.0,7.832180508387872e-06,2.1017583470317985e-05,
46,369.54,0.08026036272969123,IC46K3.6954e+02mag8.0260e-02.bin,50000000.0,50000000.0,5.7199067397615887e-08,0.0005393873303164995,
51,224.63,0.0013618728018408247,IC51K2.2463e+02mag1.3619e-03.bin,50000000.0,50000000.0,7.80584361694148e-08,0.0005235874730120602,
55,15.354,0.8221816126891812,IC55K1.5354e+01mag8.2218e-01.bin,50000000.0,24552082.820043538,4.346454637013987e-06,0.7709357131296792,24552.0
62,11.682,0.029330706484609424,IC62K1.1682e+01mag2.9331e-02.bin,50000000.0,30914014.427624978,7.6226186551980915e-06,1.1584651748090753,30914.0
70,716.08,0.4142656110657146,IC70K7.1608e+02mag4.1427e-01.bin,5000000.0,5000000.0,4.298241318585301e-06,0.00030854267372575956,
73,192.92,0.041291702808823036,IC73K1.9292e+02mag4.1292e-02.bin,5000000.0,5000000.0,7.475829150567292e-09,1.3187724533167957e-07,
76,41.847,0.2863925142471053,IC76K4.1847e+01mag2.8639e-01.bin,5000000.0,5000000.0,1.2399531639062e-07,0.0002670075749573715,
83,32.665,0.1125544704969982,IC83K3.2665e+01mag1.1255e-01.bin,5000000.0,5000000.0,2.385550595761616e-07,1.5633859798606957e-07,
92,591.24,0.23213717790416386,IC92K5.9124e+02mag2.3214e-01.bin,5000000.0,5000000.0,1.0670576913010644e-08,0.00040537841886913704,
93,163.2,0.09387170495401244,IC93K1.6320e+02mag9.3872e-02.bin,5000000.0,5000000.0,6.988480858908038e-08,7.56043959198164e-08,
94,274.64,0.06632290292876122,IC94K2.7464e+02mag6.6323e-02.bin,5000000.0,5000000.0,6.671600287562926e-08,0.0004253459136448073,
98,291.43,0.05029989127947607,IC98K2.9143e+02mag5.0300e-02.bin,5000000.0,5000000.0,1.4191168343872717e-07,2.6930669010181567e-07,
100,122.13,0.0068408198761721615,IC100K1.2213e+02mag6.8408e-03.bin,5000000.0,5000000.0,3.114649459390754e-08,5.1176712468710906e-08,
101,107.84,0.05152319196567416,IC101K1.0784e+02mag5.1523e-02.bin,5000000.0,5000000.0,4.870518438620138e-07,1.6818105910167393e-09,
111,167.63,0.0032152094010798717,IC111K1.6763e+02mag3.2152e-03.bin,5000000.0,5000000.0,5.437682989997303e-08,1.4196549041556897e-08,
118,767.9,0.05462779600725511,IC118K7.6790e+02mag5.4628e-02.bin,5000000.0,5000000.0,7.458896224918332e-08,1.786226515655283e-05,
119,496.24,0.03115255198275436,IC119K4.9624e+02mag3.1153e-02.bin,5000000.0,5000000.0,3.836069359232373e-08,0.00028951164744225476,
120,226.94,0.03458409430528473,IC120K2.2694e+02mag3.4584e-02.bin,5000000.0,5000000.0,3.7484203925563736e-08,1.4845345199968597e-07,
123,247.14,0.007218018732952581,IC123K2.4714e+02mag7.2180e-03.bin,5000000.0,5000000.0,1.326889198664477e-07,3.377337111086186e-08,
125,103.15,0.0014879628404018946,IC125K1.0315e+02mag1.4880e-03.bin,5000000.0,5000000.0,2.0457308258842378e-08,9.330897019255576e-08,
127,111.6,0.0013179196170619385,IC127K1.1160e+02mag1.3179e-03.bin,5000000.0,5000000.0,1.7338504295636148e-07,2.0954223485461563e-07,
130,19.198,0.008602666430106098,IC130K1.9198e+01mag8.6027e-03.bin,5000000.0,5000000.0,6.099337323957338e-07,0.00023957828361640383,
131,199.67,0.6987591333616621,IC131K1.9967e+02mag6.9876e-01.bin,5000000.0,5000000.0,3.060317470840274e-07,0.0002036053056035181,
141,683.55,0.03691345474625062,IC141K6.8355e+02mag3.6913e-02.bin,5000000.0,5000000.0,2.5023986357030662e-08,3.811856867884535e-06,
142,636.98,0.0471435852499796,IC142K6.3698e+02mag4.7144e-02.bin,5000000.0,5000000.0,1.0633394387200874e-06,9.761299130987068e-05,
146,99.133,0.07189867644204262,IC146K9.9133e+01mag7.1899e-02.bin,5000000.0,5000000.0,4.181136377821864e-08,1.5883775480918546e-08,
147,54.124,0.07923993321735398,IC147K5.4124e+01mag7.9240e-02.bin,5000000.0,5000000.0,1.4309039276509724e-06,0.00022983848416087624,
149,578.92,0.8691821722605563,IC149K5.7892e+02mag8.6918e-01.bin,5000000.0,5000000.0,3.6431760614807683e-06,0.0005374117925004393,
152,789.69,0.17018902820589646,IC152K7.8969e+02mag1.7019e-01.bin,5000000.0,5000000.0,2.6924686848068703e-08,3.125017792070301e-08,
154,103.62,0.07792051639448612,IC154K1.0362e+02mag7.7921e-02.bin,5000000.0,5000000.0,1.4152711578198494e-06,0.00045125194752247417,
159,378.17,0.0038830800172831204,IC159K3.7817e+02mag3.8831e-03.bin,5000000.0,5000000.0,1.0960589539598699e-08,2.800889399130373e-07,
162,43.853,0.1850399672715453,IC162K4.3853e+01mag1.8504e-01.bin,5000000.0,5000000.0,5.105868768249987e-07,9.337442703630165e-08,
163,238.74,0.026440458577690288,IC163K2.3874e+02mag2.6440e-02.bin,5000000.0,5000000.0,6.439203509787896e-09,9.486851013228423e-09,
167,626.26,0.003128574466080432,IC167K6.2626e+02mag3.1286e-03.bin,5000000.0,5000000.0,9.937009283997258e-08,2.655320961051774e-08,
168,156.89,0.03652065753733735,IC168K1.5689e+02mag3.6521e-02.bin,5000000.0,5000000.0,7.704197029912133e-08,1.0922277264571638e-08,
174,83.191,0.4885920893791154,IC174K8.3191e+01mag4.8859e-01.bin,5000000.0,5000000.0,1.1839985311776139e-07,0.000537379034078395,
178,111.99,0.0013034068657734547,IC178K1.1199e+02mag1.3034e-03.bin,5000000.0,5000000.0,6.492619246014851e-08,2.183919974545576e-07,
179,795.99,0.00744015596759741,IC179K7.9599e+02mag7.4402e-03.bin,5000000.0,5000000.0,5.133310884170131e-07,5.46796641459936e-07,
188,105.67,0.23392138385806546,IC188K1.0567e+02mag2.3392e-01.bin,5000000.0,5000000.0,7.992661429676723e-07,0.0003855094207692156,
190,309.21,0.07613082695775443,IC190K3.0921e+02mag7.6131e-02.bin,5000000.0,5000000.0,1.7745246364744774e-07,1.4129753212693257e-07,
191,121.12,0.0058415322517242465,IC191K1.2112e+02mag5.8415e-03.bin,5000000.0,5000000.0,1.260633795465349e-07,1.010957030887587e-08,
192,327.04,0.012526368617456388,IC192K3.2704e+02mag1.2526e-02.bin,5000000.0,5000000.0,5.7364186993625535e-08,4.610750745558581e-08,
196,239.34,0.05419087611710627,IC196K2.3934e+02mag5.4191e-02.bin,5000000.0,5000000.0,1.0635993215176796e-07,2.3904209233721044e-08,
197,544.27,0.2260001162247133,IC197K5.4427e+02mag2.2600e-01.bin,5000000.0,5000000.0,1.6801822791426022e-07,9.084461111566638e-08,
198,165.81,0.7528874137356177,IC198K1.6581e+02mag7.5289e-01.bin,5000000.0,5000000.0,7.026433383392099e-07,0.0007358827109486981,
201,16.897000000000002,0.17524372182910322,IC201K1.6897e+01mag1.7524e-01.bin,5000000.0,5000000.0,6.662638070571992e-08,1.0361806875046978e-07,
203,496.36,0.003688207001735572,IC203K4.9636e+02mag3.6882e-03.bin,5000000.0,5000000.0,1.905158321409443e-07,1.5043833711384487e-07,
204,726.3,0.013919007466019316,IC204K7.2630e+02mag1.3919e-02.bin,5000000.0,5000000.0,1.7802577739286772e-07,0.0002473647629055755,
205,832.76,0.048175510435085535,IC205K8.3276e+02mag4.8176e-02.bin,5000000.0,5000000.0,1.0197271733333229e-08,6.991770079206606e-06,
214,12.488,0.011672776301886694,IC214K1.2488e+01mag1.1673e-02.bin,5000000.0,5000000.0,5.025263117381542e-07,8.601557520421059e-05,
215,20.316,0.029423570340992636,IC215K2.0316e+01mag2.9424e-02.bin,5000000.0,5000000.0,4.535389391573612e-08,7.369306978236543e-08,
220,52.518,0.013211747148222031,IC220K5.2518e+01mag1.3212e-02.bin,5000000.0,5000000.0,3.357640179531173e-07,0.000211083623145812,
221,123.92,0.7814875181871144,IC221K1.2392e+02mag7.8149e-01.bin,5000000.0,3164117.863484898,1.280309113325782e-07,1.9713506374111347,3164.0
222,112.73,0.1137500392674025,IC222K1.1273e+02mag1.1375e-01.bin,5000000.0,5000000.0,2.454145112735575e-07,1.4501613448695383e-07,
223,427.34,0.2317932941217889,IC223K4.2734e+02mag2.3179e-01.bin,5000000.0,5000000.0,2.5784075023405183e-06,0.00045268733751719053,
226,616.47,0.010826308766357179,IC226K6.1647e+02mag1.0826e-02.bin,5000000.0,5000000.0,1.4133895284263614e-07,1.7659345319673656e-07,
228,70.408,0.04219182398833109,IC228K7.0408e+01mag4.2192e-02.bin,5000000.0,5000000.0,2.706172597371696e-07,2.0262127484087829e-07,
235,726.4,0.03699313519911422,IC235K7.2640e+02mag3.6993e-02.bin,5000000.0,5000000.0,5.436329707445414e-08,6.00137246211358e-08,
237,945.4,0.005201846780886675,IC237K9.4540e+02mag5.2018e-03.bin,5000000.0,5000000.0,1.953329652873788e-06,0.0001481263797490238,
239,41.655,0.002451387438276329,IC239K4.1655e+01mag2.4514e-03.bin,5000000.0,5000000.0,2.0171138627465694e-07,1.9158381918981125e-07,
240,38.63800000000001,0.019549272356819504,IC240K3.8638e+01mag1.9549e-02.bin,5000000.0,5000000.0,9.670715455162524e-08,0.0006090488803399022,
241,169.78,0.05431499108733257,IC241K1.6978e+02mag5.4315e-02.bin,5000000.0,5000000.0,2.8942525622492856e-07,7.338153650150149e-05,
243,26.018,0.2218073652026664,IC243K2.6018e+01mag2.2181e-01.bin,5000000.0,5000000.0,5.365338569560284e-07,0.00020547766162587396,
245,651.19,0.0021756549233959803,IC245K6.5119e+02mag2.1757e-03.bin,5000000.0,5000000.0,5.653228259394995e-08,2.1334527354382475e-08,
247,53.996,0.5279885510888243,IC247K5.3996e+01mag5.2799e-01.bin,5000000.0,5000000.0,9.872394167190285e-08,0.00035271126288667604,
248,242.09,0.028517077601001962,IC248K2.4209e+02mag2.8517e-02.bin,5000000.0,5000000.0,2.2181651104953924e-08,1.7508942439195516e-08,
251,188.46,0.002037273911224723,IC251K1.8846e+02mag2.0373e-03.bin,5000000.0,5000000.0,6.57950851988791e-07,1.0446938258023404e-08,
255,84.698,0.004667734561578279,IC255K8.4698e+01mag4.6677e-03.bin,5000000.0,5000000.0,6.536628384270102e-08,2.265261270888732e-08,
257,723.86,0.26300770541197305,IC257K7.2386e+02mag2.6301e-01.bin,5000000.0,5000000.0,9.184915644496969e-08,0.00038835157723365437,
259,240.13,0.002006951100097585,IC259K2.4013e+02mag2.0070e-03.bin,5000000.0,5000000.0,9.37388840743938e-08,1.2962579139596504e-07,
261,399.83,0.0286702897523633,IC261K3.9983e+02mag2.8670e-02.bin,5000000.0,2479008.6223076447,2.392961262358051e-07,0.6485811191672384,2479.0
270,244.48,0.2662492776722173,IC270K2.4448e+02mag2.6625e-01.bin,5000000.0,5000000.0,5.168390335910305e-08,0.0002944189797590165,
272,31.29300000000001,0.4322272649034461,IC272K3.1293e+01mag4.3223e-01.bin,5000000.0,5000000.0,2.796667827869888e-09,1.3402149268441148e-07,
282,54.557,0.014968113833411671,IC282K5.4557e+01mag1.4968e-02.bin,5000000.0,5000000.0,2.7105099004339385e-08,5.917782249580738e-08,
283,156.61,0.009547061327203014,IC283K1.5661e+02mag9.5471e-03.bin,5000000.0,5000000.0,9.188994053274533e-08,0.0003267009326628375,
288,127.8,0.1396681564536834,IC288K1.2780e+02mag1.3967e-01.bin,5000000.0,5000000.0,2.11788071917754e-07,6.593522569966337e-07,
289,284.62,0.037219133330314944,IC289K2.8462e+02mag3.7219e-02.bin,5000000.0,5000000.0,1.2607432437884743e-06,1.1269655755782172e-06,
290,35.223,0.006128906062777926,IC290K3.5223e+01mag6.1289e-03.bin,5000000.0,5000000.0,1.1223966004064514e-07,1.0614380590521226e-06,
293,428.03,0.11723313131673165,IC293K4.2803e+02mag1.1723e-01.bin,5000000.0,5000000.0,1.0269251763897841e-08,0.0003728537730648104,
294,216.8,0.002564296173234518,IC294K2.1680e+02mag2.5643e-03.bin,5000000.0,5000000.0,2.640278075077469e-08,3.398219910313759e-08,
295,175.51,0.009878956455710864,IC295K1.7551e+02mag9.8790e-03.bin,5000000.0,5000000.0,1.7195503342711006e-07,2.1107800697696958e-07,
301,47.267,0.060357667842208064,IC301K4.7267e+01mag6.0358e-02.bin,5000000.0,5000000.0,3.3720975879353594e-07,0.0006298050922228566,
308,370.62,0.11657040855345505,IC308K3.7062e+02mag1.1657e-01.bin,5000000.0,5000000.0,3.085304113655053e-08,1.9458068050803385e-08,
310,433.55,0.10132248024306556,IC310K4.3355e+02mag1.0132e-01.bin,5000000.0,5000000.0,8.459902039984118e-08,0.00022274203898001583,
311,81.111,0.02082148912478946,IC311K8.1111e+01mag2.0821e-02.bin,5000000.0,5000000.0,5.228033207894781e-08,6.1086922546960135e-06,
314,681.94,0.05829425292387275,IC314K6.8194e+02mag5.8294e-02.bin,5000000.0,5000000.0,1.9308778039567533e-08,0.0001407834081997109,
316,458.29,0.1723426140120887,IC316K4.5829e+02mag1.7234e-01.bin,5000000.0,5000000.0,3.3134820439529186e-07,3.306839238186849e-07,
317,40.616,0.15097551611282387,IC317K4.0616e+01mag1.5098e-01.bin,5000000.0,5000000.0,5.283701204027099e-06,0.00029178397457930836,
318,149.09,0.010484058947535471,IC318K1.4909e+02mag1.0484e-02.bin,5000000.0,5000000.0,2.3982703385804133e-08,5.212667676705257e-05,
320,268.35,0.0058600296578837155,IC320K2.6835e+02mag5.8600e-03.bin,5000000.0,4367015.717674247,1.0820634854974383e-05,0.6423566262877934,4367.0
328,30.563,0.005839616981234432,IC328K3.0563e+01mag5.8396e-03.bin,5000000.0,5000000.0,6.432127386643792e-08,5.530603098554616e-06,
332,686.04,0.1950748551388972,IC332K6.8604e+02mag1.9507e-01.bin,5000000.0,5000000.0,2.1545879902962302e-08,0.0002047960634642054,
337,397.94,0.0028886986354134648,IC337K3.9794e+02mag2.8887e-03.bin,5000000.0,5000000.0,7.417037590425168e-07,4.40523319147342e-08,
345,55.18899999999999,0.098776283102727,IC345K5.5189e+01mag9.8776e-02.bin,5000000.0,5000000.0,4.85048033164844e-07,0.0006622737795331992,
347,34.113,0.007295288553311156,IC347K3.4113e+01mag7.2953e-03.bin,5000000.0,5000000.0,6.403210995796218e-09,0.0009634860074356188,
350,73.158,0.1408464378943816,IC350K7.3158e+01mag1.4085e-01.bin,5000000.0,5000000.0,3.8142786614002713e-07,3.524609150050774e-07,
352,557.02,0.04842444286284369,IC352K5.5702e+02mag4.8424e-02.bin,5000000.0,5000000.0,9.10882604068048e-09,2.593451834934549e-07,
357,279.59,0.006396551101719599,IC357K2.7959e+02mag6.3966e-03.bin,5000000.0,5000000.0,1.9528904697447808e-07,5.1717245925873227e-08,
358,267.44,0.0037026731382899937,IC358K2.6744e+02mag3.7027e-03.bin,5000000.0,5000000.0,6.584687991082004e-08,1.8820710284997302e-08,
359,572.65,0.1259129136439659,IC359K5.7265e+02mag1.2591e-01.bin,5000000.0,5000000.0,2.9518945657901066e-06,1.3649645746300393e-05,
360,98.982,0.6676918021245885,IC360K9.8982e+01mag6.6769e-01.bin,5000000.0,5000000.0,6.739030720036027e-08,0.00016686932734143168,
363,16.249000000000002,0.13500040308296093,IC363K1.6249e+01mag1.3500e-01.bin,5000000.0,5000000.0,1.5657350667927417e-07,1.0101247527689298e-06,
364,70.872,0.0019819774617104093,IC364K7.0872e+01mag1.9820e-03.bin,5000000.0,5000000.0,6.312895660872255e-08,7.037315635118096e-09,
365,763.68,0.08410234698333383,IC365K7.6368e+02mag8.4102e-02.bin,5000000.0,5000000.0,1.252192083357092e-07,4.3057828248795884e-07,
369,199.53,0.010723755296690531,IC369K1.9953e+02mag1.0724e-02.bin,5000000.0,5000000.0,4.164783367207735e-08,6.263155620518223e-09,
371,219.54,0.05225008646738059,IC371K2.1954e+02mag5.2250e-02.bin,5000000.0,5000000.0,3.733490528645453e-07,3.0599995869416877e-07,
373,244.72,0.056203870389359104,IC373K2.4472e+02mag5.6204e-02.bin,5000000.0,5000000.0,2.2566261091687705e-07,1.5609346232074695e-08,
376,64.32,0.24568840746932485,IC376K6.4320e+01mag2.4569e-01.bin,5000000.0,5000000.0,1.1971800265492778e-07,4.836525023734881e-08,
377,17.257,0.03654660628079913,IC377K1.7257e+01mag3.6547e-02.bin,5000000.0,5000000.0,7.845851140560222e-08,3.699588436025875e-05,
379,405.58,0.003065560700052732,IC379K4.0558e+02mag3.0656e-03.bin,5000000.0,5000000.0,1.458275197810745e-07,2.494502469355063e-07,
382,322.08,0.009689489014513645,IC382K3.2208e+02mag9.6895e-03.bin,5000000.0,5000000.0,3.21872560970979e-08,1.484592175147907e-08,
383,75.828,0.004108179129560444,IC383K7.5828e+01mag4.1082e-03.bin,5000000.0,5000000.0,1.2246295208646757e-07,3.403107670280695e-05,
384,372.56,0.0071496150634992655,IC384K3.7256e+02mag7.1496e-03.bin,5000000.0,5000000.0,1.1941546176289297e-07,2.2547997331026455e-07,
386,299.51,0.021012899639419626,IC386K2.9951e+02mag2.1013e-02.bin,5000000.0,5000000.0,3.9378891258687404e-07,4.683377221266835e-08,
387,152.74,0.004205414290234729,IC387K1.5274e+02mag4.2054e-03.bin,5000000.0,5000000.0,1.8498090985858404e-07,5.332759906006201e-07,
388,46.782,0.032537765641337195,IC388K4.6782e+01mag3.2538e-02.bin,5000000.0,5000000.0,3.0353142967019763e-07,2.5884949810028145e-07,
392,53.712,0.5941282485903484,IC392K5.3712e+01mag5.9413e-01.bin,5000000.0,5000000.0,6.752017640398948e-08,2.7347698172522135e-06,
400,217.5,0.00476425951820986,IC400K2.1750e+02mag4.7643e-03.bin,5000000.0,5000000.0,4.4560259093909514e-08,2.4842997560214595e-07,
401,287.35,0.010354795316903764,IC401K2.8735e+02mag1.0355e-02.bin,5000000.0,5000000.0,4.058004895465197e-09,5.581197658177935e-07,
406,686.17,0.042504328593999684,IC406K6.8617e+02mag4.2504e-02.bin,5000000.0,5000000.0,1.3754117645811619e-07,1.9001745421826925e-07,
407,506.69,0.032461291820370684,IC407K5.0669e+02mag3.2461e-02.bin,5000000.0,5000000.0,1.906134932687038e-08,3.2266180927329405e-05,
411,490.59,0.0718774423586905,IC411K4.9059e+02mag7.1877e-02.bin,5000000.0,5000000.0,4.4366024018490586e-08,5.7039360595742804e-08,
412,776.13,0.4402799071186975,IC412K7.7613e+02mag4.4028e-01.bin,5000000.0,5000000.0,6.569843033849379e-08,0.0005912236999645747,
413,205.86,0.014293075438518398,IC413K2.0586e+02mag1.4293e-02.bin,5000000.0,5000000.0,4.568885721491707e-08,1.8443978208790736e-07,
420,42.785,0.022860831916972385,IC420K4.2785e+01mag2.2861e-02.bin,5000000.0,5000000.0,1.0832870893073946e-07,2.0557927967661155e-06,
421,232.04,0.2569996916452452,IC421K2.3204e+02mag2.5700e-01.bin,5000000.0,5000000.0,2.775925474458929e-06,0.00016043189915550306,
423,47.237,0.036765671727672325,IC423K4.7237e+01mag3.6766e-02.bin,5000000.0,5000000.0,3.532543937598709e-08,2.344373217841632e-08,
425,328.18,0.006429134384201685,IC425K3.2818e+02mag6.4291e-03.bin,5000000.0,5000000.0,3.2561235948436954e-07,7.787431088334813e-07,
429,53.242,0.010091742050522485,IC429K5.3242e+01mag1.0092e-02.bin,5000000.0,5000000.0,2.4079251148900644e-07,1.4897187735930867e-07,
433,90.431,0.0017179510368758144,IC433K9.0431e+01mag1.7180e-03.bin,5000000.0,5000000.0,1.278589664409692e-07,8.435545896253217e-08,
434,50.931,0.008717268237106298,IC434K5.0931e+01mag8.7173e-03.bin,5000000.0,5000000.0,5.005131504824734e-08,7.061056360842805e-05,
435,735.23,0.24114769449107634,IC435K7.3523e+02mag2.4115e-01.bin,5000000.0,5000000.0,4.0104524666463713e-07,0.0003272191900445071,
437,119.24,0.016084154102786834,IC437K1.1924e+02mag1.6084e-02.bin,5000000.0,5000000.0,2.3105087660496415e-08,9.673762179876163e-07,
439,151.26,0.3352475373535305,IC439K1.5126e+02mag3.3525e-01.bin,5000000.0,5000000.0,9.609806688658978e-09,3.5906839283926685e-08,
441,875.54,0.01544848682856085,IC441K8.7554e+02mag1.5448e-02.bin,5000000.0,5000000.0,9.522833248360987e-08,8.250338695951754e-08,
442,61.56800000000001,0.003932058073551618,IC442K6.1568e+01mag3.9321e-03.bin,5000000.0,5000000.0,2.6258665008656147e-08,0.00022873694209306163,
443,252.42,0.6026871392457838,IC443K2.5242e+02mag6.0269e-01.bin,5000000.0,5000000.0,5.205437259099009e-06,0.0004997357255906731,
