,K,mag,filename
0,125.21,0.13981961408994042,IC0K1.2521e+02mag1.3982e-01.bin
2,74.471,0.0011961308606153204,IC2K7.4471e+01mag1.1961e-03.bin
4,859.13,0.043822459418556364,IC4K8.5913e+02mag4.3822e-02.bin
6,610.55,0.009906937334398729,IC6K6.1055e+02mag9.9069e-03.bin
7,14.210999999999999,0.2186534714057171,IC7K1.4211e+01mag2.1865e-01.bin
8,558.29,0.8046777417892738,IC8K5.5829e+02mag8.0468e-01.bin
10,348.85,0.0011541329711371676,IC10K3.4885e+02mag1.1541e-03.bin
13,359.26,0.005159690601117633,IC13K3.5926e+02mag5.1597e-03.bin
15,498.47,0.003441024578965232,IC15K4.9847e+02mag3.4410e-03.bin
16,27.963,0.03710992052003758,IC16K2.7963e+01mag3.7110e-02.bin
17,38.845,0.0390625208786718,IC17K3.8845e+01mag3.9063e-02.bin
18,199.87,0.03283674657468433,IC18K1.9987e+02mag3.2837e-02.bin
19,15.67,0.1921981265296755,IC19K1.5670e+01mag1.9220e-01.bin
22,26.116999999999997,0.027863982281787117,IC22K2.6117e+01mag2.7864e-02.bin
27,71.03,0.27781214102926544,IC27K7.1030e+01mag2.7781e-01.bin
29,533.97,0.007156783765663499,IC29K5.3397e+02mag7.1568e-03.bin
30,194.22,0.01387539862905043,IC30K1.9422e+02mag1.3875e-02.bin
35,82.435,0.008414897317776894,IC35K8.2435e+01mag8.4149e-03.bin
36,286.43,0.06380322587719688,IC36K2.8643e+02mag6.3803e-02.bin
37,774.45,0.02467712283708881,IC37K7.7445e+02mag2.4677e-02.bin
46,369.54,0.08026036272969123,IC46K3.6954e+02mag8.0260e-02.bin
51,224.63,0.0013618728018408247,IC51K2.2463e+02mag1.3619e-03.bin
55,15.354000000000001,0.8221816126891812,IC55K1.5354e+01mag8.2218e-01.bin
62,11.682,0.029330706484609424,IC62K1.1682e+01mag2.9331e-02.bin
70,716.08,0.4142656110657146,IC70K7.1608e+02mag4.1427e-01.bin
73,192.92,0.041291702808823036,IC73K1.9292e+02mag4.1292e-02.bin
76,41.847,0.2863925142471053,IC76K4.1847e+01mag2.8639e-01.bin
83,32.665,0.1125544704969982,IC83K3.2665e+01mag1.1255e-01.bin
92,591.24,0.23213717790416386,IC92K5.9124e+02mag2.3214e-01.bin
93,163.2,0.09387170495401244,IC93K1.6320e+02mag9.3872e-02.bin
94,274.64,0.06632290292876122,IC94K2.7464e+02mag6.6323e-02.bin
98,291.43,0.05029989127947607,IC98K2.9143e+02mag5.0300e-02.bin
100,122.13,0.0068408198761721615,IC100K1.2213e+02mag6.8408e-03.bin
101,107.84,0.05152319196567416,IC101K1.0784e+02mag5.1523e-02.bin
111,167.63,0.0032152094010798713,IC111K1.6763e+02mag3.2152e-03.bin
118,767.9,0.05462779600725511,IC118K7.6790e+02mag5.4628e-02.bin
119,496.24,0.031152551982754358,IC119K4.9624e+02mag3.1153e-02.bin
120,226.94,0.03458409430528473,IC120K2.2694e+02mag3.4584e-02.bin
123,247.14,0.007218018732952581,IC123K2.4714e+02mag7.2180e-03.bin
125,103.15,0.0014879628404018946,IC125K1.0315e+02mag1.4880e-03.bin
127,111.6,0.0013179196170619385,IC127K1.1160e+02mag1.3179e-03.bin
130,19.198,0.008602666430106098,IC130K1.9198e+01mag8.6027e-03.bin
131,199.67,0.6987591333616621,IC131K1.9967e+02mag6.9876e-01.bin
141,683.55,0.03691345474625062,IC141K6.8355e+02mag3.6913e-02.bin
142,636.98,0.0471435852499796,IC142K6.3698e+02mag4.7144e-02.bin
146,99.133,0.07189867644204262,IC146K9.9133e+01mag7.1899e-02.bin
147,54.123999999999995,0.07923993321735398,IC147K5.4124e+01mag7.9240e-02.bin
149,578.92,0.8691821722605563,IC149K5.7892e+02mag8.6918e-01.bin
